"State","totalRegistered","Pop","registeredPerc","asOf"
"Alabama","3628165","5073187","0.7152","2022-03-26"
"Alaska","594733","738023","0.8058","2022-02-01"
"Arizona","4351446","7303398","0.5958","2022-01-01"
"Arkansas","1774596","3030646","0.5856","2021-06-02"
"California","22005243","39995077","0.5502","2022-01-04"
"Colorado","4275199","5922618","0.7218","2022-02-01"
"Connecticut","2472466","3612314","0.6845","2021-10-26"
"Delaware","755560","1008350","0.7493","2022-03-01"
"Florida","14284346","22085563","0.6468","2022-02-28"
"Georgia","7004034","10916760","0.6416","2021-12-01"
"Hawaii","832466","1474265","0.5647","2020-01-01"
"Idaho","1082417","1893410","0.5717","2020-11-03"
"Illinois","8722026","12808884","0.6809","2022-03-25"
"Indiana","4751370","6845874","0.6940","2020-11-03"
"Iowa","2217485","3219171","0.6888","2022-03-01"
"Kansas","1915374","2954832","0.6482","2022-01-01"
"Kentucky","3553879","4539130","0.7829","2022-02-01"
"Louisiana","3014127","4682633","0.6437","2022-03-01"
"Maine","1122517","1369159","0.8199","2022-02-01"
"Maryland","4135780","6257958","0.6609","2022-02-01"
"Massachusetts","4731940","7126375","0.6640","2021-02-01"
"Michigan","8091176","10116069","0.7998","2022-03-25"
"Minnesota","3562484","5787008","0.6156","2022-03-01"
"Mississippi","1985928","2960075","0.6709","2020-11-03"
"Missouri","4338133","6188111","0.7010","2020-11-03"
"Montana","740098","1103187","0.6709","2020-11-03"
"Nebraska","1237077","1988536","0.6221","2022-03-01"
"Nevada","2109113","3185426","0.6621","2022-02-01"
"New Hampshire","869339","1389741","0.6255","2022-02-01"
"New Jersey","6603125","9388414","0.7033","2022-03-01"
"New Mexico","1343716","2129190","0.6311","2022-02-01"
"New York","12982819","20365879","0.6375","2022-02-21"
"North Carolina","7264266","10620168","0.6840","2022-03-26"
"North Dakota","581379","800394","0.7264","2020-11-03"
"Ohio","7774767","11852036","0.6560","2020-03-17"
"Oklahoma","2218374","4000953","0.5545","2022-01-16"
"Oregon","2967631","4318492","0.6872","2022-03-01"
"Pennsylvania","8722217","13062764","0.6677","2022-03-26"
"Rhode Island","708718","1106341","0.6406","2022-03-26"
"South Carolina","3580156","5217037","0.6862","2022-01-02"
"South Dakota","577570","901165","0.6409","2022-03-01"
"Tennessee","4261137","7023788","0.6067","2020-12-01"
"Texas","15944184","29945493","0.5324","2022-03-01"
"Utah","1870136","3373162","0.5544","2022-02-28"
"Vermont","494272","646545","0.7645","2022-02-01"
"Virginia","6012426","8757467","0.6865","2022-02-01"
"Washington","4814675","7901429","0.6093","2022-01-01"
"West Virginia","1128624","1781860","0.6334","2022-02-01"
"Wisconsin","3478805","5935064","0.5861","2022-03-01"
"Wyoming","280489","579495","0.4840","2022-03-01"